Time_s,Timestamp_ms,Target_RPM,RPM,Torque_raw_lb-ft,Torque_filt_lb-ft,HP_raw,HP_filt,LoadCell_mV,ADC_Load_mV,Pressure_mV,Brake_Pos,Brake_Pct,Brake_PSI,State,PID_P,PID_I,PID_Output,Fault_Bits,Spare_Aux_mV,Tach_Glitches,RPM_Estimated,RPM_Counted,RPM_Rev
0.0000,5005540,0.0,638.3,-20.762,21.895,-2.52,2.66,735.0,735.0,504.4,0,0.0,2.2,IDLE,0.00,0.00,0.00,0,0.0,2841,13,638.3,622.1
0.0500,5005590,0.0,638.3,-20.762,21.895,-2.52,2.66,735.0,735.0,502.8,0,0.0,1.4,IDLE,0.00,0.00,0.00,0,0.0,2841,13,638.3,579.7
0.1000,5005640,0.0,579.7,-20.762,21.895,-2.29,2.42,735.0,735.0,502.8,0,0.0,1.4,IDLE,0.00,0.00,0.00,0,0.0,2841,13,579.7,575.9
0.1500,5005690,0.0,579.7,-13.431,21.895,-1.48,2.42,912.2,912.2,502.8,0,0.0,1.4,IDLE,0.00,0.00,0.00,0,0.0,2841,13,579.7,587.1
0.2000,5005740,0.0,587.1,-13.431,21.895,-1.50,2.45,912.2,912.2,501.4,0,0.0,0.7,IDLE,0.00,0.00,0.00,0,0.0,2841,13,587.1,595.8
0.2500,5005790,0.0,587.1,-13.431,21.895,-1.50,2.45,912.2,912.2,501.4,0,0.0,0.7,IDLE,0.00,0.00,0.00,0,0.0,2841,13,587.1,660.5
0.3000,5005840,0.0,660.5,-8.976,21.895,-1.13,2.75,705.3,705.3,501.4,0,0.0,0.7,IDLE,0.00,0.00,0.00,0,0.0,2841,13,660.5,669.8
0.3500,5005890,0.0,660.5,-8.976,21.895,-1.13,2.75,705.3,705.3,502.4,0,0.0,1.2,IDLE,0.00,0.00,0.00,0,0.0,2841,13,660.5,633.1
0.4000,5005940,0.0,633.1,-8.976,21.895,-1.08,2.64,705.3,705.3,502.4,0,0.0,1.2,IDLE,0.00,0.00,0.00,0,0.0,2841,13,633.1,629.7
0.4500,5005990,0.0,633.1,-3.585,21.895,-0.43,2.64,848.4,848.4,502.4,0,0.0,1.2,IDLE,0.00,0.00,0.00,0,0.0,2841,13,633.1,619.8
0.5000,5006040,0.0,623.4,-3.585,21.895,-0.43,2.60,848.4,848.4,501.9,0,0.0,0.9,IDLE,0.00,0.00,0.00,0,0.0,2841,13,623.4,631.4
0.5500,5006090,0.0,623.4,-3.585,21.895,-0.43,2.60,848.4,848.4,501.9,0,0.0,0.9,IDLE,0.00,0.00,0.00,0,0.0,2842,13,623.4,639.0
0.6000,5006140,0.0,625.2,-5.318,21.895,-0.63,2.61,875.6,875.6,501.9,0,0.0,0.9,IDLE,0.00,0.00,0.00,0,0.0,2842,13,625.2,608.7
0.6500,5006190,0.0,625.2,-5.318,21.895,-0.63,2.61,875.6,875.6,501.9,0,0.0,0.9,IDLE,0.00,0.00,0.00,0,0.0,2842,13,625.2,593.8
0.7000,5006240,0.0,575.3,-5.318,21.895,-0.58,2.40,875.6,875.6,502.1,0,0.0,1.1,IDLE,0.00,0.00,0.00,0,0.0,2842,13,575.3,547.3
0.7500,5006290,0.0,575.3,-5.318,21.895,-0.58,2.40,875.6,875.6,502.1,0,0.0,1.1,IDLE,0.00,0.00,0.00,0,0.0,2842,13,575.3,541.6
0.8000,5006340,0.0,541.1,-2.604,21.895,-0.27,2.26,858.8,858.8,502.1,0,0.0,1.1,IDLE,0.00,0.00,0.00,0,0.0,2842,13,541.1,560.2
0.8500,5006390,0.0,541.1,-2.604,21.895,-0.27,2.26,858.8,858.8,500.5,0,0.0,0.3,IDLE,0.00,0.00,0.00,0,0.0,2842,13,541.1,602.5
0.9000,5006440,0.0,602.5,-2.604,21.895,-0.30,2.51,858.8,858.8,500.5,0,0.0,0.3,IDLE,0.00,0.00,0.00,0,0.0,2842,13,602.5,622.0
0.9500,5006490,0.0,602.5,-5.303,21.895,-0.61,2.51,645.9,645.9,500.5,0,0.0,0.3,IDLE,0.00,0.00,0.00,0,0.0,2842,13,602.5,625.4
1.0000,5006540,0.0,625.4,-5.303,21.895,-0.63,2.61,645.9,645.9,501.6,0,0.0,0.8,IDLE,0.00,0.00,0.00,0,0.0,2842,13,625.4,595.0
1.0500,5006590,0.0,625.4,-5.303,21.895,-0.63,2.61,645.9,645.9,501.6,0,0.0,0.8,IDLE,0.00,0.00,0.00,0,0.0,2842,13,625.4,597.8
1.1000,5006640,0.0,597.8,1.254,21.895,0.14,2.49,870.9,870.9,501.6,0,0.0,0.8,IDLE,0.00,0.00,0.00,0,0.0,2842,13,597.8,623.4
1.1500,5006690,0.0,597.8,1.254,21.895,0.14,2.49,870.9,870.9,503.4,0,0.0,1.7,IDLE,0.00,0.00,0.00,0,0.0,2842,13,597.8,633.4
1.2000,5006740,0.0,642.0,1.254,21.895,0.15,2.68,870.9,870.9,503.4,0,0.0,1.7,IDLE,0.00,0.00,0.00,0,0.0,2842,13,642.0,658.3
1.2500,5006790,0.0,642.0,-4.182,21.895,-0.51,2.68,641.2,641.2,503.4,0,0.0,1.7,IDLE,0.00,0.00,0.00,0,0.0,2842,13,642.0,642.6
