Time_s,Timestamp_ms,Target_RPM,RPM,Torque_raw_lb-ft,Torque_filt_lb-ft,HP_raw,HP_filt,LoadCell_mV,ADC_Load_mV,Pressure_mV,Brake_Pos,Brake_Pct,Brake_PSI,State,PID_P,PID_I,PID_Output,Fault_Bits,Spare_Aux_mV,Tach_Glitches,RPM_Estimated,RPM_Counted,RPM_Rev
0.0000,1519068,0.0,803.6,2.294,2.736,0.35,0.42,900.0,900.0,499.8,0,0.0,-0.1,IDLE,0.00,0.00,0.00,0,0.0,3592,0,803.6,808.1
0.0500,1519118,0.0,803.6,2.294,2.736,0.35,0.42,900.0,900.0,501.3,0,0.0,0.6,IDLE,0.00,0.00,0.00,0,0.0,3594,0,803.6,808.1
0.1000,1519168,0.0,803.6,2.294,2.736,0.35,0.42,900.0,900.0,501.3,0,0.0,0.6,IDLE,0.00,0.00,0.00,0,0.0,3595,0,803.6,808.1
0.1500,1519218,0.0,803.6,-1.305,2.736,-0.20,0.42,720.9,720.9,501.3,0,0.0,0.6,IDLE,0.00,0.00,0.00,0,0.0,3596,0,803.6,808.1
0.2000,1519268,0.0,803.6,-1.305,2.736,-0.20,0.42,720.9,720.9,501.9,0,0.0,0.9,IDLE,0.00,0.00,0.00,0,0.0,3598,0,803.6,808.1
0.2500,1519318,0.0,803.6,-1.305,2.736,-0.20,0.42,720.9,720.9,501.9,0,0.0,0.9,IDLE,0.00,0.00,0.00,0,0.0,3599,0,803.6,808.1
0.3000,1519368,0.0,803.6,-5.097,2.736,-0.78,0.42,504.7,504.7,501.9,0,0.0,0.9,IDLE,0.00,0.00,0.00,0,0.0,3600,0,803.6,808.1
0.3500,1519418,0.0,803.6,-5.097,2.736,-0.78,0.42,504.7,504.7,501.4,0,0.0,0.7,IDLE,0.00,0.00,0.00,0,0.0,3601,0,803.6,808.1
0.4000,1519468,0.0,803.6,-5.097,2.736,-0.78,0.42,504.7,504.7,501.4,0,0.0,0.7,IDLE,0.00,0.00,0.00,0,0.0,3603,0,803.6,808.1
0.4500,1519518,0.0,803.6,0.236,2.736,0.04,0.42,951.9,951.9,501.4,0,0.0,0.7,IDLE,0.00,0.00,0.00,0,0.0,3604,0,803.6,808.1
0.5000,1519568,0.0,803.6,0.236,2.736,0.04,0.42,951.9,951.9,501.4,0,0.0,0.7,IDLE,0.00,0.00,0.00,0,0.0,3606,0,803.6,808.1
0.5500,1519618,0.0,803.6,0.236,2.736,0.04,0.42,951.9,951.9,502.3,0,0.0,1.1,IDLE,0.00,0.00,0.00,0,0.0,3607,0,803.6,808.1
0.6000,1519668,0.0,803.6,0.236,2.736,0.04,0.42,951.9,951.9,502.3,0,0.0,1.1,IDLE,0.00,0.00,0.00,0,0.0,3608,0,803.6,808.1
0.6500,1519718,0.0,803.6,2.729,2.736,0.42,0.42,867.8,867.8,502.3,0,0.0,1.1,IDLE,0.00,0.00,0.00,0,0.0,3610,0,803.6,808.1
0.7000,1519768,0.0,803.6,2.729,2.736,0.42,0.42,867.8,867.8,501.4,0,0.0,0.7,IDLE,0.00,0.00,0.00,0,0.0,3611,0,803.6,808.1
0.7500,1519818,0.0,803.6,2.729,2.736,0.42,0.42,867.8,867.8,501.4,0,0.0,0.7,IDLE,0.00,0.00,0.00,0,0.0,3613,0,803.6,808.1
0.8000,1519868,0.0,803.6,2.294,2.736,0.35,0.42,715.0,715.0,501.4,0,0.0,0.7,IDLE,0.00,0.00,0.00,0,0.0,3615,0,803.6,808.1
0.8500,1519918,0.0,803.6,2.294,2.736,0.35,0.42,715.0,715.0,499.9,0,0.0,-0.1,IDLE,0.00,0.00,0.00,0,0.0,3616,0,803.6,808.1
0.9000,1519968,0.0,803.6,2.294,2.736,0.35,0.42,715.0,715.0,499.9,0,0.0,-0.1,IDLE,0.00,0.00,0.00,0,0.0,3618,0,803.6,808.1
0.9500,1520018,0.0,803.6,2.714,2.736,0.42,0.42,691.2,691.2,499.9,0,0.0,-0.1,IDLE,0.00,0.00,0.00,0,0.0,3619,0,803.6,808.1
1.0000,1520068,0.0,803.6,2.714,2.736,0.42,0.42,691.2,691.2,502.3,0,0.0,1.1,IDLE,0.00,0.00,0.00,0,0.0,3621,0,803.6,808.1
1.0500,1520118,0.0,803.6,2.714,2.736,0.42,0.42,691.2,691.2,502.3,0,0.0,1.1,IDLE,0.00,0.00,0.00,0,0.0,3622,0,803.6,808.1
1.1000,1520168,0.0,803.6,1.232,2.736,0.19,0.42,778.4,778.4,502.3,0,0.0,1.1,IDLE,0.00,0.00,0.00,0,0.0,3623,0,803.6,808.1
1.1500,1520218,0.0,803.6,1.232,2.736,0.19,0.42,778.4,778.4,502.3,0,0.0,1.1,IDLE,0.00,0.00,0.00,0,0.0,3625,0,803.6,808.1
1.2000,1520268,0.0,803.6,1.232,2.736,0.19,0.42,778.4,778.4,501.4,0,0.0,0.7,IDLE,0.00,0.00,0.00,0,0.0,3626,0,803.6,808.1
1.2500,1520318,0.0,803.6,1.232,2.736,0.19,0.42,778.4,778.4,501.4,0,0.0,0.7,IDLE,0.00,0.00,0.00,0,0.0,3627,0,803.6,808.1
1.3000,1520368,0.0,803.6,1.851,2.736,0.28,0.42,860.3,860.3,501.4,0,0.0,0.7,IDLE,0.00,0.00,0.00,0,0.0,3629,0,803.6,808.1
1.3500,1520418,0.0,803.6,1.851,2.736,0.28,0.42,860.3,860.3,499.9,0,0.0,-0.1,IDLE,0.00,0.00,0.00,0,0.0,3630,0,803.6,808.1
1.4000,1520468,0.0,803.6,1.851,2.736,0.28,0.42,860.3,860.3,499.9,0,0.0,-0.1,IDLE,0.00,0.00,0.00,0,0.0,3631,0,803.6,808.1
1.4500,1520518,0.0,803.6,2.449,2.736,0.37,0.42,876.6,876.6,499.9,0,0.0,-0.1,IDLE,0.00,0.00,0.00,0,0.0,3633,0,803.6,808.1
1.5000,1520568,0.0,803.6,2.449,2.736,0.37,0.42,876.6,876.6,502.1,0,0.0,1.1,IDLE,0.00,0.00,0.00,0,0.0,3634,0,803.6,808.1
1.5500,1520618,0.0,803.6,2.449,2.736,0.37,0.42,876.6,876.6,502.1,0,0.0,1.1,IDLE,0.00,0.00,0.00,0,0.0,3635,0,803.6,808.1
1.6000,1520668,0.0,803.6,-2.552,2.736,-0.39,0.42,674.1,674.1,502.1,0,0.0,1.1,IDLE,0.00,0.00,0.00,0,0.0,3637,0,803.6,808.1
1.6500,1520718,0.0,803.6,-2.552,2.736,-0.39,0.42,674.1,674.1,499.9,0,0.0,-0.1,IDLE,0.00,0.00,0.00,0,0.0,3638,0,803.6,808.1
1.7000,1520768,0.0,803.6,-2.552,2.736,-0.39,0.42,674.1,674.1,499.9,0,0.0,-0.1,IDLE,0.00,0.00,0.00,0,0.0,3639,0,803.6,808.1
1.7500,1520818,0.0,803.6,-1.637,2.736,-0.25,0.42,762.2,762.2,499.9,0,0.0,-0.1,IDLE,0.00,0.00,0.00,0,0.0,3640,0,803.6,808.1
1.8000,1520868,0.0,803.6,-1.637,2.736,-0.25,0.42,762.2,762.2,501.0,0,0.0,0.5,IDLE,0.00,0.00,0.00,0,0.0,3642,0,803.6,808.1
1.8500,1520918,0.0,803.6,-1.637,2.736,-0.25,0.42,762.2,762.2,501.0,0,0.0,0.5,IDLE,0.00,0.00,0.00,0,0.0,3643,0,803.6,808.1
1.9000,1520968,0.0,803.6,8.091,2.736,1.24,0.42,944.4,944.4,501.0,0,0.0,0.5,IDLE,0.00,0.00,0.00,0,0.0,3645,0,803.6,808.1
1.9500,1521018,0.0,803.6,8.091,2.736,1.24,0.42,944.4,944.4,501.0,0,0.0,0.5,IDLE,0.00,0.00,0.00,0,0.0,3646,0,803.6,808.1
2.0000,1521068,0.0,803.6,8.091,2.736,1.24,0.42,944.4,944.4,499.8,0,0.0,-0.1,IDLE,0.00,0.00,0.00,0,0.0,3647,0,803.6,808.1
2.0500,1521118,0.0,803.6,8.091,2.736,1.24,0.42,944.4,944.4,499.8,0,0.0,-0.1,IDLE,0.00,0.00,0.00,0,0.0,3649,0,803.6,808.1
2.1000,1521168,0.0,803.6,8.246,2.736,1.26,0.42,959.1,959.1,499.8,0,0.0,-0.1,IDLE,0.00,0.00,0.00,0,0.0,3650,0,803.6,808.1
2.1500,1521218,0.0,803.6,8.246,2.736,1.26,0.42,959.1,959.1,501.1,0,0.0,0.6,IDLE,0.00,0.00,0.00,0,0.0,3651,0,803.6,808.1
2.2000,1521268,2000.0,803.6,8.246,2.736,1.26,0.42,959.1,959.1,501.1,2,0.4,0.6,HOLD_RPM,0.00,0.00,0.00,0,0.0,3652,0,803.6,808.1
2.2500,1521318,2000.0,803.6,5.974,2.736,0.91,0.42,765.0,765.0,501.1,15,3.0,0.6,HOLD_RPM,0.00,0.00,0.00,0,0.0,3655,0,803.6,808.1
2.3000,1521368,2000.0,803.6,5.974,2.736,0.91,0.42,765.0,765.0,501.5,37,7.4,0.8,HOLD_RPM,0.00,0.00,0.00,0,0.0,3656,0,803.6,808.1
2.3500,1521418,2000.0,803.6,5.974,2.736,0.91,0.42,765.0,765.0,501.5,66,13.2,0.8,HOLD_RPM,0.00,0.00,0.00,0,0.0,3657,0,803.6,808.1
2.4000,1521468,2000.0,803.6,8.806,2.736,1.35,0.42,843.1,843.1,501.5,87,17.4,0.8,HOLD_RPM,0.00,0.00,0.00,0,0.0,3659,0,803.6,808.1
2.4500,1521518,2000.0,803.6,8.806,2.736,1.35,0.42,843.1,843.1,501.8,99,19.8,0.9,HOLD_RPM,0.00,0.00,0.00,0,0.0,3660,0,803.6,808.1
2.5000,1521568,2000.0,803.6,8.806,2.736,1.35,0.42,843.1,843.1,501.8,100,20.0,0.9,HOLD_RPM,0.00,0.00,0.00,0,0.0,3661,0,803.6,808.1
2.5500,1521618,2000.0,803.6,9.950,2.736,1.52,0.42,742.8,742.8,501.8,100,20.0,0.9,HOLD_RPM,0.00,0.00,0.00,0,0.0,3663,0,803.6,808.1
2.6000,1521668,2000.0,803.6,9.950,2.736,1.52,0.42,742.8,742.8,501.8,100,20.0,0.9,HOLD_RPM,0.00,0.00,0.00,0,0.0,3664,0,803.6,808.1
2.6500,1521718,2000.0,803.6,9.950,2.736,1.52,0.42,742.8,742.8,502.3,100,20.0,1.1,HOLD_RPM,0.00,0.00,0.00,0,0.0,3665,0,803.6,808.1
2.7000,1521768,2000.0,803.6,9.950,2.736,1.52,0.42,742.8,742.8,502.3,100,20.0,1.1,HOLD_RPM,0.00,0.00,0.00,0,0.0,3667,0,803.6,808.1
2.7500,1521818,2000.0,803.6,13.335,2.736,2.04,0.42,931.2,931.2,502.3,100,20.0,1.1,HOLD_RPM,0.00,0.00,0.00,0,0.0,3668,0,803.6,808.1
2.8000,1521868,2000.0,803.6,13.335,2.736,2.04,0.42,931.2,931.2,501.8,100,20.0,0.9,HOLD_RPM,0.00,0.00,0.00,0,0.0,3670,0,803.6,808.1
2.8500,1521918,2000.0,803.6,13.335,2.736,2.04,0.42,931.2,931.2,501.8,100,20.0,0.9,HOLD_RPM,0.00,0.00,0.00,0,0.0,3671,0,803.6,808.1
2.9000,1521968,2000.0,803.6,10.842,2.736,1.66,0.42,747.8,747.8,501.8,100,20.0,0.9,HOLD_RPM,0.00,0.00,0.00,0,0.0,3672,0,803.6,808.1
2.9500,1522018,2000.0,803.6,10.842,2.736,1.66,0.42,747.8,747.8,500.0,100,20.0,0.0,HOLD_RPM,0.00,0.00,0.00,0,0.0,3674,0,803.6,808.1
3.0000,1522068,2000.0,803.6,10.842,2.736,1.66,0.42,747.8,747.8,500.0,100,20.0,0.0,HOLD_RPM,0.00,0.00,0.00,0,0.0,3675,0,803.6,808.1
3.0500,1522118,2000.0,803.6,9.094,2.736,1.39,0.42,797.5,797.5,500.0,100,20.0,0.0,HOLD_RPM,0.00,0.00,0.00,0,0.0,3676,0,803.6,808.1
