Time_s,Timestamp_ms,Target_RPM,RPM,Torque_raw_lb-ft,Torque_filt_lb-ft,HP_raw,HP_filt,LoadCell_mV,ADC_Load_mV,Pressure_mV,Brake_Pos,Brake_Pct,Brake_PSI,State,PID_P,PID_I,PID_Output,Fault_Bits,Spare_Aux_mV,Tach_Glitches,RPM_Estimated,RPM_Counted,RPM_Rev
0.0000,8468,0.0,0.0,0.339,13.198,0.00,0.00,783.4,783.4,503.0,0,0.0,1.5,IDLE,0.00,0.00,0.00,0,0.0,0,0,0.0,0.0
0.0500,8518,0.0,0.0,0.339,13.198,0.00,0.00,783.4,783.4,503.0,0,0.0,1.5,IDLE,0.00,0.00,0.00,0,0.0,0,0,0.0,0.0
0.1000,8568,0.0,0.0,0.361,13.198,0.00,0.00,782.5,782.5,503.0,0,0.0,1.5,IDLE,0.00,0.00,0.00,0,0.0,0,0,0.0,0.0
0.1500,8618,0.0,0.0,0.361,13.198,0.00,0.00,782.5,782.5,502.9,0,0.0,1.4,IDLE,0.00,0.00,0.00,0,0.0,0,0,0.0,0.0
0.2000,8668,0.0,0.0,0.361,13.198,0.00,0.00,782.5,782.5,502.9,0,0.0,1.4,IDLE,0.00,0.00,0.00,0,0.0,0,0,0.0,0.0
0.2500,8718,0.0,0.0,0.538,13.198,0.00,0.00,781.9,781.9,502.9,0,0.0,1.4,IDLE,0.00,0.00,0.00,0,0.0,0,0,0.0,0.0
0.3000,8768,0.0,0.0,0.538,13.198,0.00,0.00,781.9,781.9,502.0,0,0.0,1.0,IDLE,0.00,0.00,0.00,0,0.0,0,0,0.0,0.0
0.3500,8818,0.0,0.0,0.538,13.198,0.00,0.00,781.9,781.9,502.0,0,0.0,1.0,IDLE,0.00,0.00,0.00,0,0.0,0,0,0.0,0.0
0.4000,8868,0.0,0.0,0.251,13.198,0.00,0.00,762.5,762.5,502.0,0,0.0,1.0,IDLE,0.00,0.00,0.00,0,0.0,0,0,0.0,0.0
0.4500,8918,0.0,0.0,0.251,13.198,0.00,0.00,762.5,762.5,503.1,0,0.0,1.6,IDLE,0.00,0.00,0.00,0,0.0,0,0,0.0,0.0
0.5000,8968,0.0,0.0,0.251,13.198,0.00,0.00,762.5,762.5,503.1,0,0.0,1.6,IDLE,0.00,0.00,0.00,0,0.0,0,0,0.0,0.0
0.5500,9018,0.0,0.0,0.059,13.198,0.00,0.00,764.1,764.1,503.1,0,0.0,1.6,IDLE,0.00,0.00,0.00,0,0.0,0,0,0.0,0.0
0.6000,9068,0.0,0.0,0.059,13.198,0.00,0.00,764.1,764.1,503.1,0,0.0,1.6,IDLE,0.00,0.00,0.00,0,0.0,0,0,0.0,0.0
0.6500,9118,0.0,0.0,0.059,13.198,0.00,0.00,764.1,764.1,503.0,0,0.0,1.5,IDLE,0.00,0.00,0.00,0,0.0,0,0,0.0,0.0
0.7000,9168,0.0,0.0,0.059,13.198,0.00,0.00,764.1,764.1,503.0,0,0.0,1.5,IDLE,0.00,0.00,0.00,0,0.0,0,0,0.0,0.0
