Time_s,Timestamp_ms,Target_RPM,RPM,Torque_raw_lb-ft,Torque_filt_lb-ft,HP_raw,HP_filt,LoadCell_mV,ADC_Load_mV,Pressure_mV,Brake_Pos,Brake_Pct,Brake_PSI,State,PID_P,PID_I,PID_Output,Fault_Bits,Spare_Aux_mV,Tach_Glitches,RPM_Estimated,RPM_Counted,RPM_Rev
0.0000,1616418,0.0,839.1,0.044,10.615,0.01,1.70,858.1,858.1,501.0,0,0.0,0.5,IDLE,0.00,0.00,0.00,0,0.0,4072,0,839.1,816.3
0.0500,1616468,0.0,839.1,3.031,10.615,0.48,1.70,872.5,872.5,501.0,0,0.0,0.5,IDLE,0.00,0.00,0.00,0,0.0,4074,0,839.1,816.3
0.1000,1616518,0.0,839.1,3.031,10.615,0.48,1.70,872.5,872.5,501.8,0,0.0,0.9,IDLE,0.00,0.00,0.00,0,0.0,4076,0,839.1,816.3
0.1500,1616568,0.0,839.1,3.031,10.615,0.48,1.70,872.5,872.5,501.8,0,0.0,0.9,IDLE,0.00,0.00,0.00,0,0.0,4077,0,839.1,816.3
0.2000,1616618,0.0,839.1,5.561,10.615,0.89,1.70,854.1,854.1,501.8,0,0.0,0.9,IDLE,0.00,0.00,0.00,0,0.0,4080,0,839.1,816.3
0.2500,1616668,0.0,839.1,5.561,10.615,0.89,1.70,854.1,854.1,501.9,0,0.0,0.9,IDLE,0.00,0.00,0.00,0,0.0,4082,0,839.1,816.3
0.3000,1616718,0.0,839.1,5.561,10.615,0.89,1.70,854.1,854.1,501.9,0,0.0,0.9,IDLE,0.00,0.00,0.00,0,0.0,4083,0,839.1,816.3
0.3500,1616768,0.0,839.1,4.595,10.615,0.73,1.70,653.1,653.1,501.9,0,0.0,0.9,IDLE,0.00,0.00,0.00,0,0.0,4085,0,839.1,816.3
0.4000,1616818,0.0,839.1,4.595,10.615,0.73,1.70,653.1,653.1,501.9,0,0.0,0.9,IDLE,0.00,0.00,0.00,0,0.0,4086,0,839.1,816.3
0.4500,1616868,0.0,839.1,4.595,10.615,0.73,1.70,653.1,653.1,501.8,0,0.0,0.9,IDLE,0.00,0.00,0.00,0,0.0,4088,0,839.1,816.3
0.5000,1616918,0.0,839.1,4.595,10.615,0.73,1.70,653.1,653.1,501.8,0,0.0,0.9,IDLE,0.00,0.00,0.00,0,0.0,4090,0,839.1,816.3
0.5500,1616968,0.0,839.1,3.378,10.615,0.54,1.70,825.6,825.6,501.8,0,0.0,0.9,IDLE,0.00,0.00,0.00,0,0.0,4091,0,839.1,816.3
0.6000,1617018,0.0,839.1,3.378,10.615,0.54,1.70,825.6,825.6,502.6,0,0.0,1.3,IDLE,0.00,0.00,0.00,0,0.0,4093,0,839.1,816.3
0.6500,1617068,0.0,839.1,3.378,10.615,0.54,1.70,825.6,825.6,502.6,0,0.0,1.3,IDLE,0.00,0.00,0.00,0,0.0,4094,0,839.1,816.3
0.7000,1617118,0.0,839.1,7.789,10.615,1.24,1.70,898.8,898.8,502.6,0,0.0,1.3,IDLE,0.00,0.00,0.00,0,0.0,4096,0,839.1,816.3
0.7500,1617168,0.0,839.1,7.789,10.615,1.24,1.70,898.8,898.8,502.3,0,0.0,1.1,IDLE,0.00,0.00,0.00,0,0.0,4097,0,839.1,816.3
0.8000,1617218,0.0,839.1,7.789,10.615,1.24,1.70,898.8,898.8,502.3,0,0.0,1.1,IDLE,0.00,0.00,0.00,0,0.0,4099,0,839.1,816.3
0.8500,1617268,0.0,839.1,8.135,10.615,1.30,1.70,781.9,781.9,502.3,0,0.0,1.1,IDLE,0.00,0.00,0.00,0,0.0,4101,0,839.1,816.3
0.9000,1617318,0.0,839.1,8.135,10.615,1.30,1.70,781.9,781.9,499.6,0,0.0,-0.2,IDLE,0.00,0.00,0.00,0,0.0,4102,0,839.1,816.3
0.9500,1617368,0.0,839.1,8.135,10.615,1.30,1.70,781.9,781.9,499.6,0,0.0,-0.2,IDLE,0.00,0.00,0.00,0,0.0,4104,0,839.1,816.3
1.0000,1617418,0.0,839.1,2.677,10.615,0.43,1.70,662.8,662.8,499.6,0,0.0,-0.2,IDLE,0.00,0.00,0.00,0,0.0,4107,0,839.1,816.3
